run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,875bf78d,4,4,0,0,2,3.18673,12.52216,0.7483,0.5096,0.2545,0.7874,0.6055,1,4,4,0.5729,0.0137,27.222,570.0,4,4,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1479,0.0482,0.0212,0.206,0.5,0.4631,0.9101,0.0,1.0,19.69
2,a69f49dc,5,5,0,0,2,3.33427,15.45749,1.0,0.3895,0.2802,0.7837,0.6169,1,5,4,0.5941,0.0143,30.5,583.64,5,5,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1447,0.0183,0.1252,0.2065,0.5,0.3148,0.9568,0.0,1.0,19.26
3,5a703749,9,3,0,6,2,3.1031,15.48975,1.0,0.4648,0.296,0.7581,0.6286,1,5,4,0.5942,0.0097,23.125,620.0,9,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1533,0.0085,0.1433,0.1723,0.5,0.3638,0.972,0.0,1.0,15.94
4,800064de,5,4,0,1,2,3.37931,13.48971,0.9165,0.4318,0.3001,0.7769,0.6162,1,5,4,0.5942,0.0142,27.222,583.64,5,4,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1554,0.0079,0.1456,0.1833,0.5,0.3334,0.9769,0.0,1.0,18.76
5,c5e2fc70,5,3,1,3,2,3.24655,14.49371,0.8246,0.494,0.2348,0.7655,0.6003,1,5,4,0.5897,0.0104,30.5,583.64,5,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1582,0.0036,0.1494,0.1677,0.5,0.3551,0.9786,0.0,1.0,18.4
6,a97a541c,6,3,0,3,2,3.00955,12.52034,1.0,0.4293,0.2747,0.7647,0.6182,1,5,4,0.6009,0.0091,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1519,0.0089,0.1422,0.1755,0.5,0.3441,0.9761,0.0,1.0,18.34
7,9f53925b,6,2,0,4,2,2.68061,10.55827,1.0,0.4836,0.3277,0.7623,0.6414,1,5,4,0.583,0.0175,17.857,595.0,6,2,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1487,0.0067,0.137,0.1611,0.5,0.3511,0.9761,0.0,1.0,18.09
8,5b4cff8e,7,3,0,4,2,3.29676,13.46157,1.0,0.5445,0.2063,0.7747,0.6373,1,5,4,0.6138,0.0117,23.125,604.62,7,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1566,0.005,0.1466,0.1702,0.5,0.3438,0.9753,0.0,1.0,18.33
9,59951b2f,6,3,0,3,2,3.25201,12.33796,1.0,0.409,0.3172,0.7647,0.6216,1,5,4,0.6001,0.0113,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1636,0.0073,0.1509,0.1764,0.5,0.3477,0.9723,0.0,1.0,17.64
10,8dcb9ad7,7,2,0,5,2,3.17146,11.50121,1.0,0.4439,0.2618,0.7777,0.6244,1,5,4,0.6144,0.015,17.857,604.62,7,2,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1693,0.0065,0.1541,0.1865,0.5,0.3308,0.9749,0.0,1.0,20.02
