run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,eed1e74c,7,1,0,6,2,2.55685,9.43944,1.0,0.5363,0.4516,0.7689,0.7095,1,5,4,0.613,0.0228,15.0,604.62,7,1,27.21,0.731,MOMENT,1.0,NOW,0.9215,ABOVE,0.8876,LITTLE/FEW,0.8003,SMALL,0.8003,0.0985,0.0368,0.0212,0.147,0.5,0.4631,0.9168,0.001719,1.0,8.79
2,de42e2c0,8,1,0,7,2,2.57691,10.45674,1.0,0.6142,0.4708,0.7727,0.7263,1,5,4,0.5901,0.0158,15.0,612.86,8,1,27.21,0.731,MOMENT,1.0,NOW,0.9215,ABOVE,0.8876,LITTLE/FEW,0.8003,SMALL,0.8003,0.1401,0.0033,0.1364,0.1504,0.5,0.3597,0.96,0.002417,1.0,8.62
3,83234f0e,7,2,0,5,2,2.87729,11.48587,1.0,0.5896,0.4972,0.7777,0.7296,1,5,4,0.5997,0.0016,17.857,604.62,7,2,41.07,1.125,FAR,0.8082,SIDE,0.6335,ABOVE,0.5889,SOME,0.4063,NOW,0.2806,0.1517,0.0026,0.1467,0.1566,0.5,0.3569,0.9742,0.324252,0.8012,9.71
