run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,798c112b,5,4,0,1,2,3.48753,13.52853,0.9165,0.4216,0.2654,0.7769,0.6067,1,5,4,0.5854,0.0114,27.222,583.64,5,4,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1479,0.0482,0.0212,0.206,0.5,0.4631,0.9101,0.0,1.0,21.44
2,f4c0a972,6,3,0,3,2,3.33406,12.4762,1.0,0.4261,0.2673,0.7647,0.6159,1,5,4,0.5873,0.011,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1447,0.0183,0.1252,0.2065,0.5,0.3148,0.9568,0.0,1.0,21.94
3,fcdcfd14,4,8,0,-4,2,3.03282,20.52308,1.0,0.4128,0.2436,0.7643,0.6076,1,5,4,0.6132,0.0208,37.308,570.0,4,8,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1533,0.0085,0.1433,0.1723,0.5,0.3638,0.972,0.0,1.0,22.81
4,67b68407,6,3,0,3,2,2.88616,12.48909,1.0,0.4872,0.246,0.7647,0.6269,1,5,4,0.5955,0.0144,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1554,0.0079,0.1456,0.1833,0.5,0.3334,0.9769,0.0,1.0,21.46
5,856a77d2,7,4,0,3,2,2.89791,15.52288,1.0,0.4445,0.3085,0.7781,0.6341,1,5,4,0.5958,0.0067,27.222,604.62,7,4,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1582,0.0036,0.1494,0.1677,0.5,0.3551,0.9786,0.0,1.0,20.97
6,95a93650,5,1,1,5,2,3.42533,10.44697,0.8246,0.4402,0.3449,0.7671,0.6095,1,5,4,0.5975,0.021,23.125,583.64,5,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1519,0.0089,0.1422,0.1755,0.5,0.3441,0.9761,0.0,1.0,21.5
7,a7539fd6,7,3,0,4,2,3.08818,13.48374,1.0,0.4049,0.2713,0.7747,0.6154,1,5,4,0.5857,0.0062,23.125,604.62,7,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1487,0.0067,0.137,0.1611,0.5,0.3511,0.9761,0.0,1.0,21.51
8,7fdc8729,6,3,0,3,2,3.24843,12.45834,1.0,0.4278,0.2924,0.7647,0.6213,1,5,4,0.605,0.0106,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1566,0.005,0.1466,0.1702,0.5,0.3438,0.9753,0.0,1.0,21.03
9,85ee9d87,6,3,0,3,2,2.95535,12.51713,1.0,0.4595,0.2867,0.7647,0.6281,1,5,4,0.6057,0.0101,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1636,0.0073,0.1509,0.1764,0.5,0.3477,0.9723,0.0,1.0,18.89
10,ae1b6851,6,3,0,3,2,3.14724,12.55079,1.0,0.4961,0.2353,0.7647,0.627,1,5,4,0.6048,0.0278,23.125,595.0,6,3,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7967,0.1693,0.0065,0.1541,0.1865,0.5,0.3308,0.9749,0.0,1.0,21.2
