run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,c997b860,2,5,0,-3,2,3.11124,12.61303,0.6633,0.4304,0.1969,0.771,0.5154,1,5,4,0.6098,0.0124,30.5,532.5,2,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.0985,0.0368,0.0212,0.147,0.5,0.4631,0.9168,0.399057,0.611,10.67
2,85fc5df2,5,2,1,4,2,3.50883,12.52499,0.8,0.3808,0.2702,0.7659,0.5542,1,5,4,0.5899,0.005,27.222,583.64,5,2,57.34,0.8664,FAR,0.7374,SOME,0.6858,ABOVE,0.6754,BEFORE,0.571,,0.0,0.1401,0.0033,0.1364,0.1504,0.5,0.3597,0.96,0.351137,0.6795,8.35
3,c16724dd,2,5,1,-2,2,3.14951,15.57778,0.6325,0.3734,0.2294,0.7684,0.5009,1,5,4,0.597,0.0027,35.417,532.5,2,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.1517,0.0026,0.1467,0.1566,0.5,0.3569,0.9742,0.422657,0.6332,10.52
4,90b3a76e,5,2,2,5,2,3.32224,15.48682,0.8246,0.3838,0.2864,0.7713,0.5665,1,5,4,0.6084,0.0178,33.182,583.64,5,2,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.149,0.0049,0.1398,0.1595,0.5,0.3524,0.9759,0.423638,0.6342,11.82
5,2745aa35,2,5,0,-3,2,3.04495,12.64052,0.6633,0.4254,0.1971,0.771,0.5142,1,5,4,0.6075,0.0109,30.5,532.5,2,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.154,0.0036,0.1467,0.1597,0.5,0.3589,0.9787,0.422225,0.6328,10.8
6,1547d6e1,4,4,0,0,2,2.73656,12.62891,0.7483,0.4274,0.2733,0.7874,0.5591,1,5,4,0.6105,0.0272,27.222,570.0,4,4,57.34,0.8664,FAR,0.7374,SOME,0.6858,ABOVE,0.6754,BEFORE,0.571,,0.0,0.1496,0.0069,0.1416,0.1645,0.5,0.3484,0.973,0.354576,0.683,8.68
7,a0b2ab44,4,5,0,-1,2,2.95988,14.50448,0.8718,0.3823,0.314,0.7655,0.5834,1,5,4,0.5865,0.0224,30.5,570.0,4,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.1535,0.0031,0.1488,0.1615,0.5,0.3508,0.9787,0.423992,0.6345,10.66
8,42e1f6b7,4,4,0,0,2,3.08019,12.54591,0.7483,0.5066,0.2704,0.7874,0.5782,1,5,4,0.6275,0.0058,27.222,570.0,4,4,57.34,0.8664,FAR,0.7374,SOME,0.6858,ABOVE,0.6754,BEFORE,0.571,,0.0,0.1652,0.0039,0.1543,0.1697,0.5,0.3463,0.9783,0.355216,0.6836,8.64
