run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,09aada2c,7,3,0,4,2,3.31588,13.44512,1.0,0.4367,0.3295,0.7747,0.635,1,5,4,0.5867,0.0096,23.125,604.62,7,3,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1479,0.0482,0.0212,0.206,0.5,0.4631,0.9101,0.0,1.0,16.26
2,77b74a0d,7,2,0,5,2,2.75282,11.46799,1.0,0.4918,0.3149,0.7777,0.647,1,5,4,0.6141,0.0048,17.857,604.62,7,2,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1447,0.0183,0.1252,0.2065,0.5,0.3148,0.9568,0.0,1.0,16.16
3,aec8e476,6,3,0,3,2,3.03843,12.45567,1.0,0.4618,0.3175,0.7647,0.6348,1,5,4,0.6134,0.0205,23.125,595.0,6,3,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1533,0.0085,0.1433,0.1723,0.5,0.3638,0.972,0.0,1.0,16.79
4,6ad93ef2,4,5,0,-1,2,3.38179,14.52703,0.8718,0.4544,0.2683,0.7655,0.6042,1,5,4,0.5994,0.0046,30.5,570.0,4,5,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1554,0.0079,0.1456,0.1833,0.5,0.3334,0.9769,0.0,1.0,16.05
5,52a615d3,6,3,0,3,2,3.3718,12.5017,1.0,0.4919,0.2521,0.7647,0.6293,1,5,4,0.6187,0.0073,23.125,595.0,6,3,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1582,0.0036,0.1494,0.1677,0.5,0.3551,0.9786,0.0,1.0,15.83
6,470a6915,4,4,0,0,2,3.30283,12.56147,0.7483,0.4206,0.3396,0.7874,0.6003,1,5,4,0.6355,0.0122,27.222,570.0,4,4,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1519,0.0089,0.1422,0.1755,0.5,0.3441,0.9761,0.0,1.0,15.08
7,09866414,4,5,0,-1,2,3.1286,14.54861,0.8718,0.4986,0.2298,0.7655,0.6076,1,5,4,0.6109,0.0111,30.5,570.0,4,5,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1487,0.0067,0.137,0.1611,0.5,0.3511,0.9761,0.0,1.0,15.32
8,6ed7e9e5,7,2,0,5,2,3.10407,11.45858,1.0,0.4026,0.3183,0.7777,0.6254,1,5,4,0.6157,0.0031,17.857,604.62,7,2,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1566,0.005,0.1466,0.1702,0.5,0.3438,0.9753,0.0,1.0,18.21
9,78967cc8,6,3,0,3,2,2.97475,12.53926,1.0,0.453,0.268,0.7647,0.6227,1,5,4,0.5884,0.0115,23.125,595.0,6,3,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1636,0.0073,0.1509,0.1764,0.5,0.3477,0.9723,0.0,1.0,18.51
10,b529947a,5,3,0,2,2,3.42503,11.43105,0.8485,0.4567,0.2565,0.7758,0.6031,1,5,4,0.5866,0.0155,23.125,583.64,5,3,0.02,1.5549,MOMENT,1.0,LITTLE/FEW,0.9992,SMALL,0.9992,NOW,0.9978,FAR,0.8843,0.1693,0.0065,0.1541,0.1865,0.5,0.3308,0.9749,0.0,1.0,17.45
