run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,a0a0aa02,2,1,0,1,2,3.48331,3396596363.67099,0.2,0.3319,1.0,0.8028,0.6341,1,5,4,0.588,0.0063,15.0,532.5,2,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1479,0.0482,0.0212,0.206,0.5,0.4631,0.9101,0.0,1.0,16.34
2,1ca3cfbc,3,1,0,2,2,3.35098,94908709502826.5,0.4,0.3765,1.0,0.7923,0.671,1,5,4,0.5883,0.0297,15.0,553.33,3,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1447,0.0183,0.1252,0.2065,0.5,0.3148,0.9568,0.0,1.0,15.22
3,c1429e0c,2,1,0,1,2,3.26398,482613367304.59906,0.2,0.3604,1.0,0.8028,0.6412,1,5,4,0.608,0.0155,15.0,532.5,2,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1533,0.0085,0.1433,0.1723,0.5,0.3638,0.972,0.0,1.0,16.58
4,d1aa32e5,1,1,0,0,2,3.39641,2421916753737.2305,0.0,0.3493,1.0,0.8031,0.6086,1,5,4,0.5908,0.032,15.0,505.71,1,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1554,0.0079,0.1456,0.1833,0.5,0.3334,0.9769,0.0,1.0,18.94
5,47d789e1,2,2,0,0,2,3.43206,455980838.24893,0.2828,0.3864,1.0,0.8142,0.6647,1,5,4,0.6038,0.0243,17.857,532.5,2,2,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1582,0.0036,0.1494,0.1677,0.5,0.3551,0.9786,0.0,1.0,16.02
6,ccf92bc6,3,1,0,2,2,3.22855,27559545.67745,0.4,0.2641,1.0,0.7923,0.6429,1,5,4,0.5793,0.0146,15.0,553.33,3,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1519,0.0089,0.1422,0.1755,0.5,0.3441,0.9761,0.0,1.0,16.88
7,cc2076c4,2,1,0,1,2,2.85318,24891688.42752,0.2,0.2731,1.0,0.8028,0.6194,1,5,4,0.6161,0.0105,15.0,532.5,2,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1487,0.0067,0.137,0.1611,0.5,0.3511,0.9761,0.0,1.0,17.33
8,b185be29,2,1,0,1,2,3.06362,5023066188029.22,0.2,0.2984,1.0,0.8028,0.6257,1,5,4,0.5823,0.0205,15.0,532.5,2,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1566,0.005,0.1466,0.1702,0.5,0.3438,0.9753,0.0,1.0,16.12
9,2f4dcf22,2,1,0,1,2,3.37576,150389.16912,0.2,0.2796,1.0,0.8028,0.621,1,5,4,0.6139,0.0089,15.0,532.5,2,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1636,0.0073,0.1509,0.1764,0.5,0.3477,0.9723,0.0,1.0,15.99
10,b8618100,3,1,0,2,2,3.39299,198524446.9684,0.4,0.3958,1.0,0.7923,0.6759,1,5,4,0.6118,0.0059,15.0,553.33,3,1,100.0,3.8105,MOMENT,1.0,LITTLE/FEW,0.9984,SMALL,0.9984,NOW,0.9983,FAR,0.7965,0.1693,0.0065,0.1541,0.1865,0.5,0.3308,0.9749,0.0,1.0,16.65
