run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,489d0caa,7,3,0,4,2,3.31588,13.44512,1.0,0.4367,0.3295,0.7747,0.635,1,5,4,0.5932,0.006,23.125,604.62,7,3,50.5,2.1177,FAR,0.816,ABOVE,0.578,SOME,0.3096,BEFORE,0.1263,,0.0,0.1479,0.0482,0.0212,0.206,0.5,0.4631,0.9101,0.38701,0.6452,9.06
2,4e69cd17,7,2,0,5,2,2.75282,11.46799,1.0,0.4918,0.3149,0.7777,0.647,1,5,4,0.5855,0.0217,17.857,604.62,7,2,41.07,1.5763,FAR,0.8084,SIDE,0.6332,ABOVE,0.5887,SOME,0.4098,NOW,0.2735,0.1447,0.0183,0.1252,0.2065,0.5,0.3148,0.9568,0.331843,0.8063,9.81
3,0e307738,6,3,0,3,2,3.03843,12.45567,1.0,0.4618,0.3175,0.7647,0.6348,1,5,4,0.6049,0.0087,23.125,595.0,6,3,50.5,2.1177,FAR,0.816,ABOVE,0.578,SOME,0.3096,BEFORE,0.1263,,0.0,0.1533,0.0085,0.1433,0.1723,0.5,0.3638,0.972,0.400039,0.6577,9.61
4,71833033,4,5,0,-1,2,3.38179,14.52703,0.8718,0.4544,0.2683,0.7655,0.6042,1,5,4,0.5902,0.0103,30.5,570.0,4,5,58.75,1.032,BELOW,0.8186,SOME,0.5056,NEAR,0.4256,AFTER,0.318,,0.0,0.1554,0.0079,0.1456,0.1833,0.5,0.3334,0.9769,0.426857,0.639,11.31
5,fcb506eb,6,3,0,3,2,3.3718,12.5017,1.0,0.4919,0.2521,0.7647,0.6293,1,5,4,0.55,0.0119,23.125,595.0,6,3,50.5,2.1177,FAR,0.816,ABOVE,0.578,SOME,0.3096,BEFORE,0.1263,,0.0,0.1582,0.0036,0.1494,0.1677,0.5,0.3551,0.9786,0.401168,0.6588,8.6
6,ce31b9ae,4,4,0,0,2,3.30283,12.56147,0.7483,0.4206,0.3396,0.7874,0.6003,1,5,4,0.5967,0.0003,27.222,570.0,4,4,57.34,1.2235,FAR,0.7408,MUCH/MANY,0.7093,BIG,0.7093,VERY,0.7093,ABOVE,0.6717,0.1519,0.0089,0.1422,0.1755,0.5,0.3441,0.9761,0.472126,0.6882,8.76
7,c0b34dd6,4,5,0,-1,2,3.1286,14.54861,0.8718,0.4986,0.2298,0.7655,0.6076,1,5,4,0.5827,0.0086,30.5,570.0,4,5,58.75,1.032,BELOW,0.8186,SOME,0.5056,NEAR,0.4256,AFTER,0.318,,0.0,0.1487,0.0067,0.137,0.1611,0.5,0.3511,0.9761,0.422941,0.6352,11.74
8,9c68be3d,7,2,0,5,2,3.10407,11.45858,1.0,0.4026,0.3183,0.7777,0.6254,1,5,4,0.6054,0.0042,17.857,604.62,7,2,41.07,1.5763,FAR,0.8084,SIDE,0.6332,ABOVE,0.5887,SOME,0.4098,NOW,0.2735,0.1566,0.005,0.1466,0.1702,0.5,0.3438,0.9753,0.327018,0.8013,9.59
9,23341421,6,3,0,3,2,2.97475,12.53926,1.0,0.453,0.268,0.7647,0.6227,1,5,4,0.5777,0.0196,23.125,595.0,6,3,50.5,2.1177,FAR,0.816,ABOVE,0.578,SOME,0.3096,BEFORE,0.1263,,0.0,0.1636,0.0073,0.1509,0.1764,0.5,0.3477,0.9723,0.402125,0.6597,11.37
10,c65194b6,5,3,0,2,2,3.42503,11.43105,0.8485,0.4567,0.2565,0.7758,0.6031,1,5,4,0.5862,0.022,23.125,583.64,5,3,50.5,2.1177,FAR,0.816,ABOVE,0.578,SOME,0.3096,BEFORE,0.1263,,0.0,0.1693,0.0065,0.1541,0.1865,0.5,0.3308,0.9749,0.404304,0.6619,10.2
